accommodates,neighbourhood_group_cleansed,property_type,room_type,guests_included,bathrooms,bedrooms,beds,bed_type,amenities,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,price
3,Downtown,1,Entire home/apt,2,1,1,1,4,752,89,2,1125,1,175.23964
6,Other neighborhoods,9,Entire home/apt,1,1,2,3,4,1191,60,1,7,0,116.86035
2,Ballard,18,Private room,1,1,1,1,4,1545,30,3,90,0,72.54495
3,Capitol Hill,9,Entire home/apt,2,1,0,1,4,930,40,1,90,1,102.991035
8,Other neighborhoods,11,Entire home/apt,2,1,3,5,4,1037,225,1,29,0,267.86804
2,Cascade,15,Entire home/apt,1,1,1,1,4,294,75,2,1125,1,129.39183
2,Capitol Hill,13,Entire home/apt,2,1,1,1,4,1276,100,2,60,1,130.7904
2,Other neighborhoods,1,Entire home/apt,1,1,1,0,4,1248,25,1,1125,1,92.38839
4,Seward Park,1,Entire home/apt,2,1,1,2,4,979,50,3,1125,1,116.61122
4,West Seattle,11,Entire home/apt,2,1,1,2,4,348,64,2,1125,1,122.4876
5,Ballard,11,Entire home/apt,1,1,2,2,4,980,150,3,28,0,171.68785
4,Capitol Hill,11,Private room,2,1,1,2,4,662,0,1,14,0,119.96514
2,Capitol Hill,11,Private room,1,2,1,1,4,590,15,3,30,1,93.035484
2,Queen Anne,7,Private room,1,1,1,1,4,1102,0,1,90,0,87.35739
4,Rainier Valley,11,Entire home/apt,4,2,2,2,4,819,50,2,14,1,228.2129
4,Lake City,9,Entire home/apt,2,1,1,2,4,130,60,2,60,0,136.13899
2,West Seattle,11,Private room,2,1,1,1,4,1377,25,1,1125,0,74.58883
3,Ballard,10,Entire home/apt,2,1,1,2,4,16,50,3,150,0,110.76341
4,Other neighborhoods,9,Entire home/apt,4,1,2,2,4,274,50,2,1125,0,166.3024
2,Ballard,3,Private room,1,1,1,2,4,1090,0,1,3,0,67.50897
5,University District,1,Entire home/apt,2,1,0,1,4,90,25,1,1125,0,95.78461
3,Queen Anne,1,Entire home/apt,1,1,1,1,4,1228,100,1,89,1,166.86882
4,Queen Anne,1,Entire home/apt,2,1,1,2,4,1212,60,1,1125,1,129.39792
2,Central Area,18,Private room,2,1,1,1,4,954,25,1,5,0,68.87451
4,Other neighborhoods,11,Entire home/apt,1,2,2,2,4,377,159,3,31,1,201.31187
1,Northgate,11,Private room,1,0,1,1,4,481,60,7,1125,0,30.791065
4,Downtown,1,Entire home/apt,4,1,1,1,4,742,85,1,1125,1,173.561
2,Central Area,1,Entire home/apt,1,1,1,1,4,867,20,2,30,1,87.52224
2,Lake City,11,Private room,1,1,1,1,4,1391,0,1,1125,1,100.10995
2,Other neighborhoods,11,Private room,1,1,1,1,4,617,30,2,1125,1,74.6914
4,Capitol Hill,1,Entire home/apt,1,1,1,2,4,555,50,2,30,0,118.61441
5,Other neighborhoods,11,Entire home/apt,1,1,2,3,4,641,60,4,31,0,123.33681
2,Ballard,9,Entire home/apt,1,1,0,1,4,854,50,3,60,0,102.28661
12,Queen Anne,11,Entire home/apt,2,2,5,6,4,1175,175,2,1125,0,388.42535
2,Central Area,9,Entire home/apt,1,1,1,1,4,282,50,3,1123,1,103.763565
2,Capitol Hill,0,Private room,1,1,1,1,4,70,0,1,1125,1,67.05442
2,Downtown,1,Entire home/apt,1,1,1,1,4,1308,75,2,1125,1,190.9993
7,Delridge,10,Entire home/apt,4,1,2,4,4,215,80,1,2,1,160.65399
5,Downtown,1,Entire home/apt,4,2,2,2,4,752,129,2,1125,1,350.95996
2,Capitol Hill,9,Entire home/apt,1,1,1,1,4,976,45,2,1125,1,96.48482
5,West Seattle,18,Entire home/apt,5,2,2,2,4,862,255,2,14,0,226.72574
2,Capitol Hill,9,Entire home/apt,2,1,1,1,4,1415,30,1,1125,0,103.736496
2,Other neighborhoods,11,Entire home/apt,1,1,0,1,4,82,50,3,1125,1,101.23114
3,Magnolia,8,Entire home/apt,1,1,1,1,4,1531,0,3,1125,0,109.26985
2,Downtown,13,Entire home/apt,2,1,1,1,4,1286,100,3,60,1,219.9001
2,Ballard,1,Entire home/apt,1,1,0,1,4,1293,0,2,5,1,97.67615
6,Rainier Valley,11,Entire home/apt,4,2,3,3,4,1017,120,2,29,0,222.86472
2,Capitol Hill,1,Entire home/apt,2,1,0,1,0,1330,0,28,1125,0,94.056175
4,Other neighborhoods,11,Entire home/apt,1,2,3,2,4,1360,200,7,365,0,160.92235
6,West Seattle,11,Entire home/apt,6,2,3,3,4,124,283,2,1125,1,165.50716
6,Central Area,18,Entire home/apt,2,1,1,1,4,1143,120,5,1000,0,349.04938
7,Other neighborhoods,11,Entire home/apt,3,1,2,4,4,852,50,2,1125,0,147.36125
8,West Seattle,11,Entire home/apt,8,2,3,5,4,140,215,1,365,1,332.00153
2,Downtown,1,Entire home/apt,2,1,0,1,4,431,50,3,1125,0,164.43114
6,Rainier Valley,11,Entire home/apt,4,3,3,4,4,1153,75,4,20,1,248.73212
3,Downtown,1,Entire home/apt,2,1,1,1,4,743,89,2,1125,1,179.16344
4,Other neighborhoods,9,Entire home/apt,2,1,2,2,4,421,50,2,30,1,121.19269
2,Rainier Valley,4,Private room,1,1,1,1,4,1541,50,1,29,0,88.225296
2,Rainier Valley,11,Private room,1,1,1,1,4,944,0,1,7,1,51.496407
2,Other neighborhoods,11,Entire home/apt,1,1,1,1,4,94,35,1,14,1,75.17534
6,Other neighborhoods,11,Entire home/apt,6,2,3,4,4,501,185,6,90,0,222.87411
2,Delridge,11,Entire home/apt,1,1,1,1,4,1473,100,3,1125,0,84.27401
1,Beacon Hill,1,Private room,1,1,1,1,3,1281,30,3,1125,0,85.93907
12,Other neighborhoods,11,Entire home/apt,12,3,4,9,4,791,100,1,1125,1,205.21861
6,Central Area,1,Entire home/apt,1,2,3,4,4,122,190,3,1124,1,247.28925
14,Northgate,11,Entire home/apt,1,2,4,7,4,23,180,1,1125,0,426.3198
4,Ballard,11,Entire home/apt,2,1,2,2,4,1054,40,1,1125,1,107.36713
2,Cascade,18,Private room,1,1,1,1,4,340,0,2,1125,1,180.81944
6,Other neighborhoods,11,Entire home/apt,6,2,3,4,4,688,100,2,1125,0,202.37
2,Downtown,1,Entire home/apt,1,1,1,1,4,4,100,28,1125,0,317.0137
6,Other neighborhoods,18,Entire home/apt,4,2,2,2,4,1442,100,1,1125,0,171.97519
2,Capitol Hill,0,Private room,1,1,0,1,4,72,0,1,1125,1,64.14948
1,Other neighborhoods,11,Private room,1,2,1,1,4,1144,15,5,1125,0,74.23752
2,Other neighborhoods,11,Private room,1,1,1,2,4,1547,20,2,150,1,58.527718
4,Ballard,1,Entire home/apt,2,1,2,2,4,872,175,2,1125,0,142.46535
6,Central Area,18,Entire home/apt,1,1,2,2,4,113,80,1,1125,1,135.98723
2,West Seattle,9,Entire home/apt,1,1,0,2,4,1030,35,2,30,1,81.98555
2,Beacon Hill,18,Private room,1,1,1,1,4,33,30,30,300,0,55.42235
4,Other neighborhoods,11,Entire home/apt,2,2,2,2,4,438,125,5,45,0,161.47571
3,Downtown,1,Entire home/apt,1,1,1,1,4,892,60,2,1125,1,169.97098
5,Capitol Hill,11,Entire home/apt,3,1,1,4,4,618,52,7,7,0,224.56464
2,Rainier Valley,11,Private room,2,1,1,1,4,812,15,1,100,1,46.674435
2,Ballard,1,Entire home/apt,2,1,1,1,4,520,65,3,1125,1,115.41453
6,Northgate,11,Entire home/apt,1,2,3,3,4,672,170,3,1125,0,281.64056
3,Beacon Hill,9,Entire home/apt,2,1,1,2,4,870,55,2,1125,0,105.28856
2,Northgate,11,Private room,1,1,1,1,4,44,0,1,1125,1,64.55554
2,Ballard,11,Entire home/apt,2,1,1,1,4,676,40,1,30,1,87.602776
2,Central Area,11,Private room,1,1,1,1,4,726,19,3,29,0,71.05613
6,Downtown,1,Entire home/apt,2,1,2,2,4,525,120,3,88,0,204.4862
1,Cascade,1,Private room,1,1,1,1,4,30,20,1,1,0,167.65634
3,Downtown,1,Entire home/apt,2,1,1,1,4,9,68,2,1125,1,147.39206
